"Topic-people","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Newton, Richard / 1777-1798.","741.5942","Richard Newton and English caricature in the 1790s","Manchester","Whitworth Art Gallery in association with Manchester University Press","c1998.","0719054796 (cased);071905480X (pbk)","008765486"
"O'Callaghan, Neil.","741.5","Till we meet again :cartoons from the Evening Press 1956 till 1990","Bray, Co. Wicklow","Swishtail Publications","1990.","","007695111"
"O'Donnell, Peter / 1920-2010 / Characters / Modesty Blaise.","741.569421","The Modesty Blaise companion","London","Book Palace Books","2005.","9780955159602;0955159601;9780955159619 (copies 1-100);095515961x (copies 1-100)","013463170"
"O'Moore, Leonie / Comic books, strips, etc. / Periodicals.","741.5","Monstrum horrendum.","[Great Britain]","There Goes Tokyo","[2004]-","","013298052"
"Owens, Dean.","741.5","A book made of tears","Cornwall","Atlantic Press","2009.","9780955734830;0955734835","015418539"
"Ōtomo, Katsuhiro, / 1954- / Pictorial works.","741.5952","Akira Club","London","Titan","2007.","9781845766122;1845766121","013731161"
"Park, Nick / Themes, motives / Pictorial works / Juvenile literature.","741.5942","The art of Wallace and Gromit","London","Egmont","2009.","9781405247894 (hbk.);1405247894 (hbk.)","015271233"
"Parlett, Reg / 1904-","741.5942","The comic art of Reg Parlett :60 years of comics!","Tunbridge Wells","Golden Fun","1986.","0951121405 (pbk)","008820349"
"Pedro / 1918- / Periodicals.","741.59411","Pedro's cartoon collection.","Crieff","Rock Fort","2005-","","013258660"
"Pekar, Harvey / Comic books, strips, etc. / Fiction.","741.5973","Another dollar","[London]","Titan","[2009]","9781848561540 (Titan : pbk.);1848561547 (Titan : pbk.);9781401221737 (DC Comics)","014864696"
"Pekar, Harvey. / Childhood and youth / Comic books, strips, etc. / Fiction.","741.5","The quitter","London","Titan","2006.","9781845762148 (pbk.);1845762142 (pbk.)","013557959"
"Perjovschi, Dan.","741.59498","Mad cow, bird flu, global village","London","Verso","2007.","9781844671663 (cased);1844671666 (cased)","014016663"
"Petard, Paul / Caricatures and cartoons.","741.5","The Paul Petard pocket coffee table book.","Reading","Two Rivers Press","[1998?]","1901677060 (pbk.)","014083668"
"Peyton, Mike.","741.5092","Peyton :the world's greatest yachting cartoonist","London","Adlard Coles","c2009.","9781408124406;1408124408","015376287"
"Pocahontas / -1617 / Comic books, strips, etc. / Juvenile fiction.","741.5973","The princess and the frog ;Pocahontas.","Tunbridge Wells","Panini","c2009.","9781846531170 (pbk.);1846531179 (pbk.)","015474179"
"Poulbot, Francisque / 1879-1946.","741.5944","Poulbot of Montmartre :artist and philanthropist","[England?]","Sterling Press","2006.","9780955359316 (pbk.);0955359317 (pbk.)","013632533"
"Prentice, David / 1936-","741.5941","Sources and structure in painting and drawing","London","Coracle Press","1978.","","012943851"
"Presley, Elvis / 1935-1977 / (Spirit) / Comic books, strips, etc. / Fiction.","741.5","In odd we trust","London","HarperCollins","2008.","9780007236961 (pbk.);0007236964 (pbk.)","014601147"
"Rabelais, François, / approximately 1490-1553?. / Illustrations.","741.5944","Curious and fantastic creatures.","New York","Dover ","1995.","0486284638 (pbk)","008078841"
"Rabelais, François, / approximately 1490-1553?. / Illustrations.","741.5944","Curious and fantastic creatures.","London","Constable","1995.","0486284638 (pbk)","008078841"
"Richard / III / King of England / 1452-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III","London","Self Made Hero","2007.","9780955285639 (pbk.);0955285631 (pbk.)","013773034"
"Richard / III / King of England / 1452-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332228 (pbk.);1906332223 (pbk.)","014800637"
"Richard / III / King of England / 1452-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332235 (pbk.);1906332231 (pbk.)","014800638"
"Richard / III / King of England / 1452-1485 / Comic books, strips, etc. / Fiction.","741.5","Richard III :the graphic novel","Towcester","Classical","2009.","9781906332242 (pbk.);190633224X (pbk.)","014800639"
"Richard / III / King of England / 1452-1485 / Comic books, strips, etc. / Juvenile fiction.","741.5","Richard III","","","","9781783220991 (pbk.)","016429834"
"Roba, Jean / Translations into English.","741.59493","Friends first","Canterbury","Cinebook","2012.","9781849181242 (pbk.);1849181241 (pbk.)","016035964"
"Roba, Jean / Translations into English.","741.59493","It's a dog's life","","","","9781849181716 (pbk.)","016444376"
"Roba, Jean / Translations into English.","741.59493","Remember this, Buddy?","Canterbury","Cinebook","2009.","9781905460915 (pbk.);1905460910 (pbk.)","015109840"
"Roba, Jean / Translations into English.","741.59493","Bored silly with Billy","Canterbury","Cinebook","2010.","9781849180498 (pbk.);1849180490 (pbk.)","015557449"
"Robert / I / King of Scots / 1274-1329 / Comic books, strips, etc. / Fiction.","741.5","Robert the Bruce","","","","9781780271835 (pbk.)","016644546"
"Roberts, Nigel / Translations into Cornish.","741.5942","Whedhlow ha drollys a gernow goth","Cathair na Mart, Co. Mhaigh Eo","Evertype","2011.","9781904808749 (pbk.);1904808743 (pbk.)","015965392"
"Robinson, Bertram / 1870-1907.","741.56941","The world of Vanity fair","London","MX","2009.","9781904312536 (pbk.);1904312535 (pbk.)","015377254"
"Robinson, W. Heath / 1872-1944 / Exhibitions.","741.5942","William Heath Robinson :an exhibition","London (104 Randolph Ave., W9 1PQ)","C. Beetles","[1984?]","","011186217"
"Robinson, W. Heath / 1872-1944.","741.5942","Heath Robinson contraptions","London","Duckworth","2007.","9780715636947 (hbk.);0715636944 (hbk.)","013751603"
"Robinson, W. Heath / 1872-1944.","741.5942","Heath Robinson's helpful solutions","London","Cartoon Museum","c2007.","9780953726349 (pbk.)","014523239"
"Robinson, W. Heath / 1872-1944.","741.5942","Heath Robinson at West House, Pinner","[London?]","William Heath Robinson Trust","2010.","9780956559609 (pbk.);0956559603 (pbk.)","015614486"
"Romanov House of / Comic books, strips, etc. / Fiction.","741.5","The great game","","","","9781781082607 (pbk.)","016684300"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2009.","9781905437924 (pbk.);1905437927 (pbk.)","014800604"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2008.","9781905437597 (pbk.);1905437595 (pbk.)","014408139"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5","Amerika","Oxford","Rebellion","2009.","9781906735128 (pbk.);1906735123 (pbk.)","015292523"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2006-2007.","1904265952 (v. 1 : pbk.);9781905437245 (v. 2 : pbk.);1905437242 (v. 2 : pbk.)","013465043"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2008.","9781905437696 (pbk.);1905437692 (pbk.)","014602416"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2004.","9781904265207 (pbk.);1904265200 (pbk.)","013952956"
"Romanov, House of / Comic books, strips, etc. / Fiction.","741.5941","Nikolai Dante.","Oxford","Rebellion","2011.","9781907992223 (pbk.);1907992227 (pbk.)","015800079"
"Romanov, House of. / Comic books, strips, etc. / Fiction.","741.5942","Nikolai Dante :the great game","Oxford","Rebellion","2005.","1904265324 (pbk.)","013070328"
"Romanov, House of. / Comic books, strips, etc. / Fiction.","741.5","The courtship of Jena Makarov","Oxford","Rebellion","2005.","1904265448 (pbk.)","013148691"
"Ross, Alex / 1970-","741.56973","Rough justice :the DC Comics sketches of Alex Ross","London","Titan","2010.","9781848567030 (hbk.);1848567030 (hbk.)","015484357"
"Ross, Alex / 1970-","741.56973","Rough justice :the DC Comics sketches of Alex Ross","London","Titan","2012.","9781781166086 (pbk.)","016107691"
"Ross, Alex / 1970-","741.5973","Mythology :the DC Comics art of Alex Ross","London","Titan","2005.","1840239417 (pbk.)","013297085"
"Ross, Alex / 1970- / Notebooks, sketchbooks, etc.","741.56973","Rough justice :the DC Comics sketches of Alex Ross","London","Titan","2010.","9781848567030 (hbk.);1848567030 (hbk.)","015484357"
"Rowlandson, Thomas / 1756-1827 / Exhibitions.","741.56942","High spirits :the comic art of Thomas Rowlandson","","","","9781905686766 (pbk.)","016495738"
"Rowlandson, Thomas / 1756-1827.","741.5942","The amorous illustrations of Thomas Rowlandson","London","Bibliophile","c1983.","0900123338","010986331"
"Ruskin, John / 1819-1900 / Catalogs.","741.5941","Ruskin's drawings","Oxford","Ashmolean Museum","2010.","9781854441041 (hbk.);1854441043 (hbk.)","015645292"
"Ruskin, John / 1819-1900 / Criticism and interpretation.","741.5941","Ruskin's drawings","Oxford","Ashmolean Museum","2010.","9781854441041 (hbk.);1854441043 (hbk.)","015645292"
"Russell, Bertrand / 1872-1970 / Comic books, strips, etc. / Fiction.","741.59495","Logicomix","London","Bloomsbury","2009.","9780747597209 (pbk.);0747597200 (pbk.)","015271036"
"Russell, P. Craig / Criticism and interpretation.","741.5092","The art of P. Craig Russell","Norcross, Ga.","Desperado","c2007.","9780979593901 (signed ed.);0979593905 (signed ed.);9780979593918;0979593913","015587833"
"Saint-Aubin, Charles Germain de / 1721-1786.","741.5944","The Saint Aubin 'Livre de caricatures' :drawing satire in eighteenth-century Paris","Oxford","Voltaire Foundation","c2012.","9780729410441 (pbk.);0729410447 (pbk.)","016086353"
"Samways, George Richmond.","741.5942092","The road to Greyfriars","London","Howard Baker","1984.","0703002627","011983522"
"Scarfe, Gerald.","741.5942","Gerald Scarfe.","London","Thames and Hudson","c1982.","0500272689 (pbk)","008745855"
"Scarfe, Gerald.","741.50924","Scarfe","London","Hamish Hamilton","1986.","0241119596","008044022"
"Scarfe, Gerald.","741.5942","Drawing blood :forty-five years of Scarfe uncensored","London","Little, Brown","2005.","0316729523","013278915"
"Schulz, Charles M. / 1922-2000 / Interviews.","741.5092","Charles M. Schulz :conversations","Jackson","University Press of Mississippi","c2000.","1578063043 (cased);1578063051 (pbk.)","010756439"
"Schulz, Charles M. / 1922-2000.","741.5973","Charlie Brown, Snoopy and me :and all the other Peanuts characters","London","W.H. Allen","1981.","0491026455","008743239"
"Schulz, Charles M. / 1922-2000.","741.5973","Peanuts jubilee :my life and art with Charlie Brown and others","Harmondsworth","Penguin","1980.","0140042814 (pbk)","011305002"
"Schulz, Charles M. / 1922-2000.","741.5973","Peanuts jubilee :my life and art with Charlie Brown and others","London","Allen Lane","1976.","0713910291","008082578"
"Schulz, Charles M. / 1922-2000.","741.5973","The peanuts collection","London","New Holland","2010.","9781847738271 (cased);1847738273 (cased)","015612143"
"Schulz, Charles M. / 1922-2000.","741.5092","Good grief :the story of Charles M. Schulz","Horsham","Ravette Books","1990, c1989.","1853042552","012030678"
"Schulz, Charles M. / 1922-2000.","741.5092","Charles M. Schulz :conversations","Jackson","University Press of Mississippi","c2000.","1578063043 (cased);1578063051 (pbk.)","010756439"
"Schulz, Charles M. / 1922-2000.","741.5973","Peanuts :a golden celebration : the art and the story of the world's best-loved comic strip","New York ; [London]","HarperCollins","c1999.","0007105126;0062702440 (U.S.)","009379269"
"Searle, Ronald / 1920-2011 / Catalogs.","741.5092","Ronald Searle remembered, 1920-2011 :England's greatest cartoonist","London","Chris Beetles","c2012.","9781905738441 (pbk.)","016113197"
"Searle, Ronald / 1920-2011.","741.5092","Ronald Searle :a biography","London","Chris Beetles","2003.","1871136822","006937730"
"Searle, Ronald / 1920-2011.","741.5942","Ronald Searle in Le Monde","Chicago ; London","University of Chicago Press","2002.","0226744086","007366979"
"Searle, Ronald / 1920-2011.","741.5942","Ronald Searle","London","Sinclair-Stevenson","1990.","1856190048","012695126"
"Searle, Ronald / 1920-2011.","741.5942","The predatory bite of the steel nib :the scrapbook drawings of Ronald Searle","Oxford","Predatory Parrot Press","2005.","","013319797"
"Shakespeare, William / 1564-1616 / Adaptations / Comic books, strips, etc. / Juvenile literature.","741.5941","Twelfth night","[Oswestry]","Timber Frame Publications","2003.","9780954432546 (pbk.);0954432541 (pbk.)","014606519"
"Shakespeare, William / 1564-1616 / Adaptations / Comic books, strips, etc. / Juvenile literature.","741.5941","Henry V","[Oswestry]","Timber Frame Publications","2004.","9780954432560 (pbk.);0954432568 (pbk.)","014606522"
"Shakespeare, William / 1564-1616 / Adaptations / Comic books, strips, etc. / Juvenile literature.","741.5941","Romeo & Juliet","[Owestry]","Timber Frame Publications","2003.","9780954432522 (pbk.);0954432525 (pbk.)","014606506"
"Shakespeare, William / 1564-1616 / Adaptations / Comic books, strips, etc. / Juvenile literature.","741.5941","A midsummer night's dream","[Oswestry]","Timber Frame Publications","2005.","9780954432584 (pbk.);0954432584 (pbk.)","014606511"
"Shakespeare, William / 1564-1616 / Adaptations / Comic books, strips, etc. / Juvenile literature.","741.5941","The cartoon illustrated edition of the Tempest","[Bronygarth]","Shakespeare Comic Book Co.","2006.","9780955376108 (pbk.);0955376106 (pbk.)","014606513"
"Shakespeare, William / 1564-1616 / Adaptations.","741.5942","Romeo and Juliet","London","SelfMadeHero","2007.","9780955285608 (pbk.);0955285607 (pbk.)","013567865"
"Shakespeare, William / 1564-1616 / Adaptations.","741.5942","Hamlet","London","SelfMadeHero","2007.","9780955285615 (pbk.);0955285615 (pbk.)","013567866"
"Shakespeare, William / 1564-1616 / Adaptations.","741.5941","Bravo, Mr. William Shakespeare! :seven plays","London","Walker","2009.","9781406323351 (pbk.);1406323357 (pbk.)","015286633"
"Shakespeare, William / 1564-1616 / Adaptations.","741.5942","The merchant of Venice","London","Self Made Hero","2009.","9780955816918 (pbk.);0955816912 (pbk.)","015296973"
"Shakespeare, William / 1564-1616 / Adaptations.","741.5941","Graphic Shakespeare.","","","","9781908973030 (paperback);190897303X (paperback)","016143776"
"Shakespeare, William / 1564-1616. / Comic books, strips, etc. / Juvenile literature.","741.5941","Henry V","[Oswestry]","Timber Frame Publications","2004.","9780954432560 (pbk.);0954432568 (pbk.)","014606522"
"Shakespeare, William / 1564-1616. / Comic books, strips, etc. / Juvenile literature.","741.5941","Romeo & Juliet","[Owestry]","Timber Frame Publications","2003.","9780954432522 (pbk.);0954432525 (pbk.)","014606506"
"Shakespeare, William / 1564-1616. / Comic books, strips, etc. / Juvenile literature.","741.5941","A midsummer night's dream","[Oswestry]","Timber Frame Publications","2005.","9780954432584 (pbk.);0954432584 (pbk.)","014606511"
"Shakespeare, William / 1564-1616. / Comic books, strips, etc. / Juvenile literature.","741.5941","The cartoon illustrated edition of the Tempest","[Bronygarth]","Shakespeare Comic Book Co.","2006.","9780955376108 (pbk.);0955376106 (pbk.)","014606513"
"Shakespeare, William / 1564-1616. / Comic books, strips, etc. / Juvenile literature.","741.5941","Twelfth night","[Oswestry]","Timber Frame Publications","2003.","9780954432546 (pbk.);0954432541 (pbk.)","014606519"
"Shakur, Tupac / 1971-1996 / Comic books, strips, etc. / Fiction.","741.5","Death rap :Tupac Shakur, a life","London","Omnibus Press","2005.","1844497275 (pbk.)","013265613"
"Shrigley, David.","741.59411","The book of Shrigley","London","Redstone Press","2005.","1870003241 (pbk.)","013270052"
"Silvey, Hugh.","741.50922","Wrinklies rule OK","Daventry","Powerfresh","2005.","1904967108 (pbk.)","013195604"
"Simon, Joe.","741.5092","Joe Simon :my life in comics.","London","Titan","2011.","9781845769307 (hbk.);1845769309 (hbk.)","015696303"
"Simon, Joe.","741.5973","Joe Simon :my life in comics.","London","Titan","2012.","9781781163085 (pbk.);1781163081 (pbk.)","016127294"
"Simpson, Will / Exhibitions.","741.59416","Sequential art","Portadown","Millennium Court Arts Centre","c2005.","9780954981624 (pbk.)","014617894"
"Spare, Austin Osman / 1886-1956.","741.5942","The book of ugly ecstasy","London","Fulgur","1996.","1558183485 (J.D. Holmes)","009911851"
"Spiegelman, Art / Comic books, strips, etc.","741.5973","Breakdowns :portrait of the artist as a young %@[squiggle][star]!","London","Viking","2008.","9780670916825;067091682X","014662202"
"Spiegelman, Art.","741.5973","MetaMAUS :Art Spiegelman looks inside his modern classic, Maus.","London","Viking","2011.","9780670916832 (hbk.);0670916838 (hbk.)","015864679"
"Spiegelman, Vladek / Comic books, strips, etc.","741.5973","Maus :a survivor's tale","London","Penguin","2003.","0141014083 (pbk.)","005601136"
"Stampa, G. L.","741.5942","The last bohemian :G. L. Stampa of Punch","London","Bellew","1991.","0947792783 (pbk)","008138938"
"Stanton, Eric / 1926-","741.5973","The art of Eric Stanton for the man who knows his place","Köln ; London","Taschen","c1997.","3822884995","007491792"
"Stanton, Eric.","741.5973","She dominates & other stories","Köln ; London","Taschen","c2001.","3822855650 (pbk.)","007491561"
"Steadman, Ralph / Friends and associates.","741.5092","The joke's over :memories of Hunter S. Thompson","London","Arrow","2007, c2006.","9780099502197 (pbk.);0099502194 (pbk.)","013794988"
"Steadman, Ralph / Friends and associates.","741.5092","The joke's over :bruised memories--Gonzo, Hunter Thompson and me","London","Heinemann","2006.","9780434016068 (hbk.);0434016063 (hbk.)","013494708"
"Steadman, Ralph.","741.5942","Between the eyes","London","Cape","1984.","0224022806 (pbk);0224029886 (cased)","007363276"
"Steadman, Ralph.","828.91409","Between the eyes","London","Cape","1984.","0224022806 (pbk);0224029886 (cased)","007363276"
"Steadman, Ralph.","741.5942","Gonzo, the art","London","Phoenix Illustrated","1998.","0753807262","011352212"
"Steadman, Ralph.","741.5973","Ralph Steadman's extinct boids","London","Bloomsbury","2012.","9781408178621 (UK : hbk.);1408178621 (UK : hbk.);9781620401064 (US : hbk.);9781408181409 (special edition)","016111615"
"Steadman, Ralph.","741.5942","Gonzo, the art","London","Weidenfeld & Nicolson","1998.","0297823825","008741805"
"Sterne, Laurence / 1713-1768 / Comic books, strips, etc.","741.5942","The life and opinions of Tristram Shandy, gentleman","London","Picador","1996.","0330334638 (pbk)","010045409"
"Sterne, Laurence / 1713-1768. / Adaptations.","741.5942","The life and opinions of Tristram Shandy, gentleman","London","Picador","1996.","0330334638 (pbk)","010045409"
"Studdy, George.","741.5092","Bonzo :the life and work of George Studdy","Shepton Beauchamp","R. Dennis","1988.","090368523X","012676906"
"Talbot, Bryan / 1952-","741.5942","The Adventures of Luther Arkwright.","","Propaganda Comics","[1990]","0951712004 (pbk)","009473459"
"Talbot, Mary M. / 1954- / Comic books, strips, etc. / Fiction.","741.5","Dotter of her father's eyes","London","Jonathan Cape","[2012]","9780224096089 (hbk.);0224096087 (hbk.)","015955271"
"Taylor, James Hudson / 1832-1905.","741.5","White Devil :the life and legend of Hudson Taylor","Oxford","Monarch","2006.","9781854247735 (pbk.);1854247735 (pbk.)","013574411"
"Tell, Wilhelm / Comic books, strips, etc. / Juvenile fiction.","741.5","William Tell :one against an empire","London","Lerner","2010.","9780761353980 (pbk.);0761353984 (pbk.)","015468515"
"Tezuka, Osamu / 1928-1989.","741.5092","The art of Osamu Tezuka :god of Manga","Lewes","Ilex","2009.","9781905814664 (hbk.);1905814666 (hbk.)","015352670"
"Tezuka, Osamu / 1928-1989.","741.5952","The art of Osamu Tezuka :god of manga","Lewes","Ilex","[2013]","9781781570333 (pbk.)","016191956"
"Thompson, Hunter S.","741.5942","Jones of Colorado","London","Ebury","1995.","0091809452","010657561"
"Thompson, Hunter S. / Friends and associates.","741.5092","The joke's over :memories of Hunter S. Thompson","London","Arrow","2007, c2006.","9780099502197 (pbk.);0099502194 (pbk.)","013794988"
"Thompson, Hunter S. / Friends and associates.","741.5092","The joke's over :bruised memories--Gonzo, Hunter Thompson and me","London","Heinemann","2006.","9780434016068 (hbk.);0434016063 (hbk.)","013494708"
"Thompson, Hunter S. / Illustrations.","741.5092","The joke's over :memories of Hunter S. Thompson","London","Arrow","2007, c2006.","9780099502197 (pbk.);0099502194 (pbk.)","013794988"
"Tidy, Bill / 1933- / Exhibitions.","741.5942","Bill Tidy :drawings 1957-1986","Liverpool","Walker Art Gallery","[1986]","0901534250 (pbk)","012026320"
"Tidy, Bill.","741.5092","Is there any news of the iceberg? :an illustrated biography","London","Smith Gryphon","1995.","1856851028","012699176"
"Tomine, Adrian / 1974-","741.5973","New York drawings :a decade of covers, comics, illustrations, and sketches from the pages of the New Yorker and beyond","","","","9780571289059 (hardback);0571289053 (hardback)","016130914"
"Tomine, Adrian / 1974- / Comic books, strips, etc. / Fiction.","741.5973","Scenes from an impending marriage :a prenuptial memoir","London","Faber and Faber","c2011.","9780571277704 (hbk.);0571277705 (hbk.)","015748389"
"Townshend, George Townshend / Marquis / 1724-1807.","741.5942","The Townshend album","London","H.M.S.O.","1974.","0112901999 (sd)","007021430"
"Trog / Exhibitions.","741.5971","The cartoons of Trog :Kettle's Yard, Northampton St., Cambridge 19 April-11 May 1980.","[Cambridge]","[The Yard]","[1980]","0907074030 (pbk)","007443319"
"Trondheim, Lewis / Translations into English.","741.5944","Tiny tyrant","New York ; London","First Second","2007.","9781596430945 (pbk.);159643094X (pbk.)","013650972"
"Trondheim, Lewis / Translations into English.","741.5944","Tiny tyrant","New York","First Second","2007.","9781596435100 (v. 1 : pbk.);1596435100 (v. 1 : pbk.);9781596435230 (v. 2 : pbk.);1596435232 (v. 2 : pbk.)","015117287"
"Turner, Martyn / 1948-","741.509417","The odd couple :political cartoons, 1992-94","Dublin","Irish Times Books","1994.","0907011217 (pbk)","007442636"
"Turner, Martyn / 1948-","741.59415","Pack up your troubles :25 years of Northern Ireland cartoons","Belfast","Blackstaff Press","1995.","0856405698 (pbk)","009461324"
"Tussaud, Marie / 1761-1850 / Comic books, strips, etc. / Fiction.","741.5","The fascinating Madame Tussaud","Canterbury","Cinebook","2007.","9781905460366 (pbk.);1905460368 (pbk.)","013829549"
"Tutankhamen / King of Egypt / Comic books, strips, etc. / Juvenile fiction.","741.5","Tutankhamun :the assassinated pharaoh","Canterbury","Cinebook","2009.","9781905460847 (pbk.);1905460848 (pbk.)","014878240"
"Uderzo / Appreciation.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Uderzo / Criticism and interpretation.","741.50944","Masters of the ninth art :bandes dessinées and Franco-Belgian identity ","Liverpool","Liverpool University Press","2005.","085323938X (hbk.)","013052956"
"Uderzo / Translations into English.","741.5944","Asterix omnibus :Asterix and the actress, Asterix and the class act, Asterix and the falling sky","London","Orion Children's Books","c2011.","9781444004267 (pbk.);1444004263 (pbk.)","015837324"
"Uderzo / Translations into English.","741.5944","Asterix omnibus","London","Orion","2008.","9781409101345 (cased);1409101347 (cased);9781409101352 (pbk.);1409101355 (pbk.)","014652106"
"Uderzo / Translations into English.","741.5944","Asterix omnibus","London","Orion","2007.","9780752891569;0752891561","013795325"
"Uderzo / Translations into English.","741.5944","Asterix omnibus","London","Orion Children's","c2011.","9781444004250 (pbk.);1444004255 (pbk.)","015813883"
"Ullyett, Roy.","741.5092","While there's still lead in my pencil :his own story of more than 60 years drawing a wage in Fleet Street","London","André Deutsch,","1998.","0233994211","008039707"
"Ware, Chris / 1967-","741.5973","Chris Ware's Jimmy Corrigan :honing the hybridity of the graphic novel","Newcastle upon Tyne","Cambridge Scholars","2012.","9781443835275 (hbk.);1443835277 (hbk.)","016015545"
"Ware, Chris / 1967- / Criticism and interpretation.","741.5092","Chris Ware","London","Laurence King","2004.","9781856693974 (pbk.);185669397X (pbk.)","012933122"
"Watkins, Dudley D. / -1969 / Exhibitions.","741.5942","The Dudley Watkins exhibition :an exhibition arranged by Dundee Museums and Art Galleries with the kind assistance of D.C. Thomson & Co. Ltd.","[London]","[D.C. Thomson]","[1979]","","010994467"
"Watterson, Bill.","741.56973","Looking for Calvin and Hobbes :the unconventional story of Bill Watterson and his revolutionary comic strip","London","Continuum","2010.","9780826429841 (hbk.);082642984X (hbk.)","015357273"
"Wendlow, Oscar / Correspondence.","741.5941","The letters of Oscar Wendlow, London cabbie and portrait painter to the stars.","London","Boxtree","1999.","0752213393 (pbk)","010731413"
"William / Prince, Duke of Cambridge / 1982- / Comic books, strips, etc. / Fiction.","741.5","Kate & William :a very public love story","London","Markosia","2011.","9781905692453 (pbk.);1905692455 (pbk.)","015744227"
"Wolpe, Berthold.","741.59","Wolperiana :an illustrated guide to Berthold L. Wolpe","London,","Merrion Press","1960.","","011559836"
"Zec, Philip / 1909-1983 / Caricatures and cartoons.","741.5092","Don't lose it again! :the life and wartime cartoons of Philip Zec","London","Political Cartoon Society","2005.","0954900812","013539073"
"Zec, Philip / 1909-1983.","741.5092","Don't lose it again! :the life and wartime cartoons of Philip Zec","London","Political Cartoon Society","2005.","0954900812","013539073"
"Ziadé, Lamia / Childhood and youth / Comic books, strips, etc. / Fiction.","741.5","Bye bye Babylon :Beirut 1975-1979","London","Jonathan Cape","2011.","9780224096195 (pbk.);0224096192 (pbk.)","015855460"
"Ziadé, Lamia / Homes and haunts / Lebanon / Beirut / Comic books, strips, etc. / Fiction.","741.5","Bye bye Babylon :Beirut 1975-1979","London","Jonathan Cape","2011.","9780224096195 (pbk.);0224096192 (pbk.)","015855460"
"Zinn, Howard / 1922-2010 / Comic books, strips, etc.","741.56973","A people's history of American empire :a graphic adaptation","London","Constable","2008.","9781845298319 (pbk.);1845298314 (pbk.)","014607704"
