"Topic-place","Subject Classification","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"San Francisco (Calif.) / Comic books, strips, etc. / Fiction.","741.5973","Fogtown","[London]","Titan Books","c2010.","9781848568389 (Titan Books : pbk.);184856838X (Titan Books : pbk.)","015860875"
"Scotland / Caricatures and cartoons / Periodicals.","741.59411","Pedro's cartoon collection.","Crieff","Rock Fort","2005-","","013258660"
"Scotland / Comic books, strips, etc. / Juvenile fiction.","741.5","The goblin king","London","Lerner","2009.","9780761344124 (pbk.);0761344128 (pbk.)","015116963"
"Scotland / Fiction.","741.59411","Super tales","[Edinburgh]","J. Miller","2007.","","015102175"
"Scotland / History / 18th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Robert Louis Stevenson's Kidnapped","New Lanark","Waverley Books","2007, c2006.","9781902407388 (pbk.);1902407385 (pbk.)","013742543"
"Scotland / History / 18th century / Comic books, strips, etc. / Juvenile fiction.","741.5942","Kidnapped","Brighton","Book House","2007.","9781904642046 (pbk.)","013770040"
"Scotland / History / To 1057 / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Scotland / History / To 1057 / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Scotland / History / To 1057 / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Scotland / History / To 1057 / Comic books, strips, etc. / Fiction.","741.5","Macbeth","London","Self Made Hero","2008.","9780955285660 (pbk.);0955285666 (pbk.)","014542945"
"Scotland / History / To 1057 / Comic books, strips, etc. / Juvenile fiction.","741.5","Macbeth","","","","9781783220168 (pbk.)","016429831"
"Scotland / History / To 1057 / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Scotland / History / To 1057 / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Scotland / History / To 1057 / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Scotland / Kings and rulers / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Scotland / Kings and rulers / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Scotland / Kings and rulers / Comic books, strips, etc.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Scotland / Kings and rulers / Comic books, strips, etc. / Fiction.","741.5","Macbeth","London","Self Made Hero","2008.","9780955285660 (pbk.);0955285666 (pbk.)","014542945"
"Scotland / Kings and rulers / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332051 (pbk.)","014658919"
"Scotland / Kings and rulers / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332044 (pbk.)","014658923"
"Scotland / Kings and rulers / Juvenile fiction.","741.5","Macbeth :the graphic novel","Towcester","Classical Comics","c2008.","9781906332037 (pbk.)","014658929"
"Scotland / Kings and rulers / Succession / Comic books, strips, etc. / Juvenile fiction.","741.5","Macbeth","Brighton","Book House","2008.","9781905638826 (pbk.);1905638825 (pbk.)","014605501"
"Scotland / Kings and rulers / Succession / Juvenile fiction.","741.5","William Shakespeare's Macbeth","Brighton","Book House","2008.","9781905638901 (pbk.);1905638906 (pbk.)","014276803"
"Scotland / Politics and government / 21st century / Caricatures and cartoons.","741.59411","Boyling point.more political cartoons","Argyll","Argyll Publishing","2011.","9781906134815 (pbk.);1906134812 (pbk.)","015994015"
"Scotland / Social conditions / 21st century / Caricatures and cartoons.","741.59411","Boyling point.more political cartoons","Argyll","Argyll Publishing","2011.","9781906134815 (pbk.);1906134812 (pbk.)","015994015"
"Scotland / Social life and customs / Comic books, strips, etc. / Fiction.","741.59411","The Broons.","London","Aurum/D.C. Thomson","2006.","9781845132149;1845132149","013768133"
"Scotland / Social life and customs / Comic books, strips, etc. / Fiction.","741.5973","The Boys.","London","Titan","2011.","9780857681454 (pbk.);0857681451 (pbk.)","015729481"
"Scotland / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","The Broons :facsimile edition of the first ever Broons and Oor Wullie annuals ;Oor Wullie","London","Aurum","2008.","9781845133948 (hbk.);1845133943 (hbk.)","014674779"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :let laughter flourish","[London","D.C. Thomson & Co.","2001]","0851167853","008782866"
"Scotland / Social life and customs / Humor.","741.59411","The Broons :Scotland's happy family that makes every family happy.","Glasgow","D. C. Thomson & Co","c2007.","9781845353162 (pbk.)","014461657"
"Scotland / Social life and customs / Humor.","741.59411","The Broons.","London","D.C. Thomson","c2003.","0851168353 (pbk.)","008782870"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :more classics from the fifties","London","D.C. Thomson","c2003.","0851168361","008782871"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :rare vintage comic strips.","","","","9781845354619 (hardback)","016124393"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :the early years 1936-1946.","[London?","D.C. Thomson?","2006?]","9781845351625 (hbk.);1845351622 (hbk.)","013603239"
"Scotland / Social life and customs / Humor.","741.59411","Oor Wullie.","Glasgow","D.C. Thomson","c2006.","9781845351502 (hbk.);1845351509 (hbk.)","013603248"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie.","","","","9781845355111 (hbk.);1845355113 (hbk.)","016470805"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :the glory years 1956-1969","London","DC Thompson & Co","2009.","9781845353940;1845353943","015377529"
"Scotland / Social life and customs / Humor.","741.59411","Oor Wullie :oor Wullie! your Wullie! a'body's Wullie.","London","D.C. Thomson and Co. Ltd.","c2004.","0851168574 (pbk.)","012982685"
"Scotland / Social life and customs / Humor.","741.59411","The Broons.","London","D C Thomson","c2005.","1845350510 (pbk.)","013313814"
"Scotland / Social life and customs / Humor.","741.59411","Creswell.","Kinloss","Librario","c2007.","9781904440918 (pbk.);1904440916 (pbk.)","014560325"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie.","[London","D.C. Thomson & Co.","1999]","0851167128","013079092"
"Scotland / Social life and customs / Humor.","741.59411","[The Broons and Oor Wullie :1946-56 the golden years].","[London","D C Thomson","2007]","9781845353278 (cased)","013944648"
"Scotland / Social life and customs / Humor.","741.59411","The Broons.","London","D.C. Thomson","c1999.","085116711X (pbk.)","010349907"
"Scotland / Social life and customs / Humor.","741.59411","The Broons and Oor Wullie :a nation's favourites","London","D.C. Thomson","c2000.","0851167403","008782862"
"Scotland / Social life and customs / Humor.","741.59411","The Broons.","London","D.C. Thomson","c2001.","0851167845 (pbk.)","008782865"
"Scotland. / Social life and customs / Humor.","741.59411","The Broons and oor Wullie :1936-2006.","London","D.C. Thomson","2005.","1845350529 (cased)","013314711"
"Seattle (Wash.) / Comic books, strips, etc. / Fiction.","741.5","Jar of fools :a picture story","London","Faber","2008.","9780571236978 (pbk.);0571236979 (pbk.)","014487518"
"Shetland (Scotland) / Caricatures and cartoons.","741.59411","Gaf it aff :cartoons","Lerwick","Shetland Times","1984.","090066245X (pbk)","012021973"
"Solar system / Comic books, strips, etc. / Periodicals.","741.5","Space kombat.","[Great Britain]","LCD Publishing","2004-","","007887811"
"South Africa / Social conditions / 1961-1994 / Comic books, strips, etc. / Fiction.","741.5968","Madams are from Mars, maids are from Venus","London","Penguin","c1997","0140266569 (pbk)","011311194"
"South America / Comic books, strips, etc. / Juvenile fiction.","741.5","The broken ear","London","Egmont","2008.","9781405240680 (hbk.);1405240687 (hbk.)","014543017"
"Southern States / Race relations / Comic books, strips, etc. / Fiction.","741.5","Incognegro","New York","DC Comics","2008.","9781848560970 (pbk.);9781401210977 (pbk.);140121097X (pbk.)","015104101"
"Southern States / Race relations / Comic books, strips, etc. / Fiction.","741.5","Incognegro","London","Titan","2008.","9781848560710 (hbk.);1848560710 (hbk.)","014627539"
"Spain / Social life and customs / Comic books, strips, etc. / Fiction.","741.5941","Don Quixote","London","SelfMadeHero","2011.","9781906838317 (v. 1 : pbk.);1906838313 (v. 1 : pbk.);9781906838614 (v. 2 : pbk.);1906838615 (v. 2 : pbk.)","015790708"
"Sunderland (England) / History / Comic books, strips, etc. / Fiction.","741.5942","Alice in Sunderland :an entertainment","London","Jonathan Cape","2007.","9780224080767;0224080768","013572513"
"Tel Aviv (Israel) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Exit wounds","London","Jonathan Cape","2007.","9780224081665;0224081667","013650327"
"Texas / Comic books, strips, etc.","741.5973","Hank Hill's WD40 for the soul :a guide to mending everything","London","HarperCollinsEntertainment","1999.","0006531679 (pbk.)","009375817"
"Thetford (England) / History / Comic books, strips, etc. / Fiction.","741.5942","Out of the dark","[Swindon?]","English Heritage","c2005.","9780955114205 (pbk.);0955114209 (pbk.)","013636949"
"Thetford (England) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5942","Out of the dark","[Swindon?]","English Heritage","c2005.","9780955114205 (pbk.);0955114209 (pbk.)","013636949"
"Timber Wharves Estate (London, England)","741.5083094215","The Timber Wharves gang :a graphic novel featuring a series of short comics, stories and illustratios created by over 40 talented young people at Timber Wharves","","","","9781901155280 (paperback)","013821833"
"Tokyo (Japan) / Comic books, strips, etc. / Juvenile fiction.","741.5973","The awakening","London","Raintree","2012.","9781406243246 (pbk.);1406243248 (pbk.)","015986749"
"Tokyo (Japan) / Fiction.","741.5952","Rurouni Kenshin :Meiji swordsman romantic story","London","Gollancz Manga","2006-2007.","9780575078277 (v. 1 : pbk.);0575078278 (v. 1 : pbk.);057507843X (v. 2 : pbk.);9780575078444 (v. 3 : pbk.);0575078448 (v. 3 : pbk.);9780575078451 (v. 4 : pbk.);0575078456 (v. 4 : pbk.);9780575078468 (v. 5 : pbk.);0575078464 (v. 5 : pbk.);9780575078475 (v. 6 : pbk.);0575078472 (v. 6 : pbk.);0575078480 (v. 7 : pbk.);9780575079984 (v. 8 : pbk.)","013310640"
"Tokyo (Japan) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Tokyo is my garden","London","Fanfare","2007.","9788496427075 (pbk.);8496427072 (pbk.)","013553151"
"Tokyo (Japan) / Social life and customs / Comic books, strips, etc. / Fiction.","741.5","Tokyo days, Bangkok nights","London","Titan","2009.","9781848561502 (pbk.);1848561504 (pbk.)","014864695"
"Tower Hamlets (London, England)","741.5083094215","The Timber Wharves gang :a graphic novel featuring a series of short comics, stories and illustratios created by over 40 talented young people at Timber Wharves","","","","9781901155280 (paperback)","013821833"
"United States / Civilization / 1945- / Caricatures and cartoons.","741.5942","Drawing blood :forty-five years of Scarfe uncensored","London","Little, Brown","2005.","0316729523","013278915"
"United States / Comic books, strips, etc. / Juvenile fiction.","741.5","Tintin in America","London","Egmont","2008.","9781405240727 (hbk.);1405240725 (hbk.)","014543021"
"United States / Foreign relations / 1945-.","327.41073","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / Foreign relations / 1945-.","327.73041","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / Foreign relations / 1945-.","741.5942","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / Foreign relations / Comic books, strips, etc.","741.56973","A people's history of American empire :a graphic adaptation","London","Constable","2008.","9781845298319 (pbk.);1845298314 (pbk.)","014607704"
"United States / Foreign relations / Comic books, strips, etc. / Fiction.","741.5973","Not Quite Dead.","London","Knockabout","c2009.","9780861661664 (pbk.);0861661664 (pbk.)","015522644"
"United States / Foreign relations / Great Britain.","327.41073","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / Foreign relations / Great Britain.","327.73041","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / Foreign relations / Great Britain.","741.5942","A special relationship","London","Faber","1987.","0571149928 (pbk)","010069928"
"United States / History / 20th century.","741.5973","Art and politics :cartoonists of the 'Masses' and 'Liberator'","Westport, Conn. ; London","Greenwood Press ","1973.","0837160065","010959342"
"United States / History / 20th century.","741.5973","Art and politics :cartoonists of the 'Masses' and 'Liberator'","[London] ([3 Henrietta St., WC2E 8LT])","[Distributed by Westport Publications Ltd]","1973.","0837160065","010959342"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.59493","The Navy blues","Ashford","Cinebook","2009, c2008.","9781905460823 (pbk.);1905460821 (pbk.)","014837396"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.59493","The greenhorn","Canterbury","Cinebook","2011, c2010.","9781849180665 (pbk.);1849180660 (pbk.)","015630588"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.59493","Rumberley","Canterbury","Cinebook","2012, c2011.","9781849181082 (pbk.);184918108X (pbk.)","015904395"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.59493","The skyriders","Canterbury","Cinebook","2010, c2009.","9781849180146 (pbk.);1849180148 (pbk.)","015381426"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.59493","Bronco Benny","","","","9781849181464 (paperback);1849181462 (paperback)","016173109"
"United States / History / Civil War, 1861-1865 / Comic books, strips, etc. / Juvenile fiction.","741.5","Robertsonville Prison","Ashford","Cinebook","2008.","9781905460717 (pbk.);1905460716 (pbk.)","014641737"
"United States / History / Civil War, 1861-1865 / Prisoners and prisons, Confederate / Comic books, strips, etc. / Juvenile fiction.","741.59493","The greenhorn","Canterbury","Cinebook","2011, c2010.","9781849180665 (pbk.);1849180660 (pbk.)","015630588"
"United States / History / Civil War, 1861-1865 / Prisoners and prisons, Confederate / Comic books, strips, etc. / Juvenile fiction.","741.59493","The skyriders","Canterbury","Cinebook","2010, c2009.","9781849180146 (pbk.);1849180148 (pbk.)","015381426"
"United States / History / Civil War, 1861-1865 / Prisoners and prisons, Confederate / Comic books, strips, etc. / Juvenile fiction.","741.5","Robertsonville Prison","Ashford","Cinebook","2008.","9781905460717 (pbk.);1905460716 (pbk.)","014641737"
"United States / History / Civil War, 1861-1965 / Comic books, strips, etc. / Juvenile fiction.","741.5","The blues in the mud","","","","9781849181839 (pbk.)","016521753"
"United States / History / Comic books, strips, etc. / Fiction.","741.5","Uncle Sam","London","Titan","2009.","9781848562844 (hbk.);1848562845 (hbk.)","015170960"
"United States / History / French and Indian War, 1755-1763 / Comic books, strips, etc. / Juvenile fiction.","741.5942","The last of the Mohicans","Brighton","Book House","2010.","9781906714710 (pbk.);1906714711 (pbk.)","015427774"
"United States / History, Military / 20th century / Caricatures and cartoons.","741.56941","Giles's fighting forces","London","Express Newspapers","2008.","9780850793598 (hbk.);0850793599 (hbk.)","014697245"
"United States / In literature.","741.5973","Comic books and American cultural history :an anthology","London","Continuum","2012.","9781441163196 (hbk.);1441163190 (hbk.);9781441172624 (pbk.);1441172629 (pbk.)","015991645"
"United States / Politics and government / 1901-1953 / Caricatures and cartoons.","741.5973","Art and politics :cartoonists of the 'Masses' and 'Liberator'","Westport, Conn. ; London","Greenwood Press ","1973.","0837160065","010959342"
"United States / Politics and government / 1901-1953 / Caricatures and cartoons.","741.5973","Art and politics :cartoonists of the 'Masses' and 'Liberator'","[London] ([3 Henrietta St., WC2E 8LT])","[Distributed by Westport Publications Ltd]","1973.","0837160065","010959342"
"United States / Politics and government / 1945- / Caricatures and cartoons.","741.5973","Jules Feiffer's America :from Eisenhower to Reagan","Harmondsworth","Penguin","1982.","0140066128 (pbk)","011306312"
"United States / Politics and government / 1945-1989 / Caricatures and cartoons.","741.5973","The Gang of eight","Boston [Mass.] ; London","Faber","c1985.","057112531X (pbk)","010068677"
"United States / Politics and government / 1981-1989 / Caricatures and cartoons.","741.5973","Drawn from the Economist :a collection of caricatures","London","Economist Publication","1988.","0850582768","008114428"
"United States / Politics and government / 1989-1993 / Caricatures and cartoons.","741.5973","Kinder, gentler cartoonsmore editorial cartoons from The Christian science monitor","[S.l.]","Christian Science Monitor","1992.","0875102344 (pbk)","011380034"
"United States / Politics and government / 2001- / Caricatures and cartoons.","741.5942","Apes of wrath","London","Methuen in association with The Guardian","2004.","0413774503 (cased)","012937174"
"United States / Politics and government / 2001- / Comic books, strips, etc. / Fiction.","741.5","In the shadow of no towers","London","Viking","2004.","0670915416","012879941"
"United States / Politics and government / Caricatures and cartoons.","741.5","The political cartoon","Rutherford","Fairleigh Dickinson University Presses ","c1981.","0838619010","008105800"
"United States / Politics and government / Caricatures and cartoons.","741.5","The political cartoon","London","Associated University Press","c1981.","0838619010","008105800"
"United States / Politics and government / Caricatures and cartoons.","741.5942","Drawing blood :forty-five years of Scarfe uncensored","London","Little, Brown","2005.","0316729523","013278915"
"United States / Politics and government / Caricatures and cartoons.","741.5973","Flashbacks :25 years of Doonesbury.","[S.l.]","Andrews McMeel","1998.","0836204360 (pbk)","010348094"
"United States / Popular culture / History / 20th century.","741.5","Dark knights :the new comics in context","London","Pluto Press","1993.","0745306624 (cased);0745306632 (pbk)","009445752"
"United States / Relations / Latin America / Caricatures and cartoons.","741.5973","Latin America in caricature","Austin ; London","University of Texas Press","c1980.","0292746261","008738391"
"United States / Social conditions / Comic books, strips, etc.","741.56973","A people's history of American empire :a graphic adaptation","London","Constable","2008.","9781845298319 (pbk.);1845298314 (pbk.)","014607704"
"United States / Social life and customs / 1971- / Comic books, strips, etc. / Fiction.","741.5973","Best of American splendor","London","Titan","2005.","9781845760960 (pbk.);1845760964 (pbk.)","013206779"
"United States / Social life and customs / 21st century / Comic books, strips, etc. / Fiction.","741.5","Neil Young's Greendale","London","Titan","2010.","9781848567863 (hbk.);1848567863 (hbk.)","015551549"
"United States / Territorial expansion / Comic books, strips, etc.","741.56973","A people's history of American empire :a graphic adaptation","London","Constable","2008.","9781845298319 (pbk.);1845298314 (pbk.)","014607704"
"Venice (Italy) / Comic books, strips, etc. / Fiction.","741.59493","--and die","Canterbury","Cinebook","2010.","9781849180320 (pbk.);1849180326 (pbk.)","015468961"
"Venice (Italy) / Comic books, strips, etc. / Fiction.","741.59493","See Venice--","Canterbury","Cinebook","2010, c2009.","9781849180207 (pbk.);1849180202 (pbk.)","015409324"
"Vietnam / Comic books, strips, etc. / Fiction.","741.5942","The art of Pho","London","Jonathan Cape","2010.","9780224089845;0224089846","015467781"
"Wales / Politics and government / Caricatures and cartoons.","741.5942","Wales in Vanity fair :a show of cartoons by 'Ape', 'Spy' and other artists of Welsh personalities of the Victorian age","Cardiff","National Museum of Wales","1989.","072000327X (pbk)","008768237"
"Wales / Social life and customs / Caricatures and cartoons.","741.5942","Wales in Vanity fair :a show of cartoons by 'Ape', 'Spy' and other artists of Welsh personalities of the Victorian age","Cardiff","National Museum of Wales","1989.","072000327X (pbk)","008768237"
"Wales / Social life and customs / Caricatures and cartoons.","741.59429","More of my Wales","Llandybie","C. Davies","1973.","0715400991 (pbk)","009732053"
"Warsaw (Poland) / Comic books, strips, etc. / Fiction.","741.5","The property","","","","9780224093736 (hbk.)","016469837"
"Wessex (England) / Social conditions / Comic books, strips, etc. / Juvenile fiction.","741.5","The Mayor of Casterbridge","","","","9781783221240 (pbk.)","016552222"
"West (U.S.) / History / Comic books, strips, etc. / Fiction.","741.5","American vampire.","London","Titan","2012.","9781781165041 (hbk.);1781165041 (hbk.)","016103537"
"Wyoming / History / 19th century / Comic books, strips, etc. / Fiction.","741.59493","Western","Canterbury","Cinebook","2011.","9781849180849 (pbk.);1849180849 (pbk.)","015734780"
"Yorkshire (England) / Social life and customs / 19th century / Comic books, strips, etc. / Juvenile fiction.","741.5","Wuthering Heights","","","","9781783221226 (pbk.)","016552220"
"Yorkshire (England) / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5","Wuthering Heights","Brighton","Book House","2009.","9781906370138 (pbk.);1906370133 (pbk.)","014853241"
"Yorkshire (England) / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5942","Wuthering Heights :the graphic novel","Towcester","Classical Comics","c2011.","9781906332877 (pbk.);1906332878 (pbk.)","015664753"
"Yorkshire (England) / Social life and customs / Comic books, strips, etc. / Juvenile fiction.","741.5942","Wuthering Heights :the graphic novel","Towcester","Classical Comics","c2011.","9781906332884 (pbk.);1906332886 (pbk.)","015664754"
"Yorkshire / Social life and customs.","741.5942","Aye up Yorkshire - :'ere we come! : tomfoolery on tour from coast to moor","Clapham","Dalesman","1984.","0852067747 (pbk)","008791676"
"Yugoslavia / Social conditions / Comic books, strips, etc.","741.594971","Dream watcher","Hove","Slab-O-Concrete","1998.","1899866132 (pbk.)","009074349"
"Zambia / History / 1924-1953 / Comic books, strips, etc. / Fiction.","741.5","A chequerboard of nights and days","","","","9781852001643 (hbk.)","016490293"
"Zambia / Social conditions / Comic books, strips, etc. / Fiction.","741.5","A chequerboard of nights and days","","","","9781852001643 (hbk.)","016490293"
